year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.159365,66.8006,0.144648,2.3683,1.70906,0.228816,0.550368,0.038808,
2,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
3,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
4,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
5,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
6,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
7,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
8,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
9,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
10,0.0531216,22.2669,0.048216,0.789432,0.569688,0.076272,0.183456,0.012936,
