year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.103896,43.5497,0.329288,4.08317,2.03829,1.00762,0.773827,0.0642112,
2,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
3,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
4,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
5,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
6,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
7,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
8,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
9,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
10,0.0173159,7.25828,0.0548814,0.680529,0.339716,0.167937,0.128971,0.0107019,
