year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.103896,43.5497,0.275441,3.73422,2.81331,0.376657,1.0329,0.0638824,
2,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
3,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
4,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
5,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
6,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
7,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
8,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
9,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
10,0.0173159,7.25828,0.0459068,0.622369,0.468886,0.0627762,0.172151,0.0106471,
