year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.159365,66.8006,0.2016,1.94191,1.23782,0.80136,0.644112,0.213192,
2,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
3,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
4,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
5,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
6,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
7,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
8,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
9,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
10,0.0531216,22.2669,0.0672,0.647304,0.412608,0.26712,0.214704,0.071064,
