year,out_reactor+HG206,out_reactor+TL206,out_reactor+TL207,out_reactor+TL208,out_reactor+TL209,out_reactor+TL210,out_reactor+PB209,out_reactor+PB210,out_reactor+PB211,out_reactor+PB212,out_reactor+PB214,out_reactor+BI210,out_reactor+BI211,out_reactor+BI212,out_reactor+BI213,out_reactor+BI214,out_reactor+BI215,out_reactor+PO210,out_reactor+PO211,out_reactor+PO212,out_reactor+PO213,out_reactor+PO214,out_reactor+PO215,out_reactor+PO216,out_reactor+PO218,out_reactor+AT215,out_reactor+AT217,out_reactor+AT218,out_reactor+AT219,out_reactor+RN217,out_reactor+RN218,out_reactor+RN219,out_reactor+RN220,out_reactor+RN222,out_reactor+FR221,out_reactor+FR223,out_reactor+RA223,out_reactor+RA224,out_reactor+RA225,out_reactor+RA226,out_reactor+RA228,out_reactor+AC225,out_reactor+AC227,out_reactor+AC228,out_reactor+TH227,out_reactor+TH228,out_reactor+TH229,out_reactor+TH230,out_reactor+TH231,out_reactor+TH232,out_reactor+TH234,out_reactor+PA231,out_reactor+PA233,out_reactor+PA234,out_reactor+PA234(1),out_reactor+U233,out_reactor+U234,out_reactor+U235,out_reactor+U235(1),out_reactor+U236,out_reactor+U237,out_reactor+U238,out_reactor+NP237,out_reactor+PU238,out_reactor+PU239,out_reactor+PU240,out_reactor+PU241,out_reactor+PU242,out_reactor+AM241,out_reactor+O16,out_reactor+O17,out_reactor+O18,out_reactor+PB206,out_reactor+PB207,out_reactor+PB208,out_reactor+BI209,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1.44377e-33,5.24344e-32,1.24302e-22,1.80281e-31,3.20694e-29,3.72958e-28,1.31739e-25,9.21326e-20,9.61536e-22,1.06842e-28,3.73027e-23,6.86118e-23,5.77989e-23,1.01336e-29,3.13558e-26,2.77042e-23,2.1088e-28,4.73162e-22,6.25347e-28,5.35947e-40,4.71103e-35,3.82766e-30,8.05165e-28,4.12083e-34,4.32549e-24,1.80936e-34,3.77252e-31,7.56369e-30,2.69328e-29,7.5684e-37,1.65456e-34,1.82459e-24,1.60939e-31,7.95473e-21,3.49711e-27,1.10715e-23,4.63336e-19,9.21793e-28,1.80443e-23,1.15852e-15,7.08043e-24,1.04632e-23,4.24431e-16,8.6391e-28,8.46709e-19,1.72706e-25,3.68646e-18,4.51801e-10,2.16086e-13,4.72372e-13,3.23277e-10,4.23693e-11,1.00758e-12,4.86816e-15,1.08989e-14,3.61975e-12,0.000334683,0.053143,1.74684e-09,3.68926e-05,5.84496e-09,22.2669,3.22836e-05,0.0520445,0.86669,0.408537,0.189031,0.135072,0.0278921,3.2177,0.00130224,0.00725709,1.18729e-22,2.54329e-18,9.4102e-27,4.52988e-23,
3,2.43814e-32,8.85476e-31,6.88699e-22,2.83488e-30,4.26629e-28,3.35104e-27,1.75255e-24,1.71308e-18,5.3274e-21,1.68007e-27,3.35165e-22,1.15867e-21,3.20236e-22,1.59349e-28,4.17135e-25,2.48923e-22,1.04655e-27,1.29976e-20,3.46475e-27,8.42765e-39,6.26722e-34,3.43916e-29,4.46103e-27,6.47992e-33,3.88646e-23,1.00248e-33,5.0187e-30,6.79599e-29,1.33661e-28,1.00685e-35,1.48662e-33,1.01092e-23,2.53073e-30,7.14734e-20,4.65231e-26,5.49451e-23,2.56711e-18,1.4495e-26,2.23266e-22,1.07239e-14,6.2243e-23,1.39195e-22,2.11559e-15,7.59448e-27,4.4866e-18,2.80025e-24,4.36404e-17,2.26379e-09,4.32261e-13,2.41718e-12,6.46582e-10,1.31049e-10,3.52505e-12,9.73674e-15,2.17987e-14,2.18425e-11,0.00103249,0.106308,3.49364e-09,0.000111969,1.14421e-08,44.5338,0.000109821,0.10372,1.73336,0.817035,0.370047,0.270143,0.0637744,6.43539,0.00260449,0.0145142,7.21184e-21,2.70237e-17,3.19541e-25,1.2354e-21,
4,1.42575e-31,5.17799e-30,2.25302e-21,1.55938e-29,2.11172e-27,1.41292e-26,8.6747e-24,1.03089e-17,1.74282e-20,9.24155e-27,1.41318e-21,6.77554e-21,1.04763e-21,8.76528e-28,2.06473e-24,1.04955e-21,3.33116e-27,9.32668e-20,1.13346e-26,4.63579e-38,3.10213e-33,1.45007e-28,1.45939e-26,3.5644e-32,1.63867e-22,3.27953e-33,2.48414e-29,2.86543e-28,4.25442e-28,4.98366e-35,6.26813e-33,3.30714e-23,1.39207e-29,3.01357e-19,2.30279e-25,1.7489e-22,8.3981e-18,7.97324e-26,1.08174e-21,4.56172e-14,2.57787e-22,6.88986e-22,6.74117e-15,3.14535e-26,1.45185e-17,1.55314e-23,2.08384e-16,7.24153e-09,1.0807e-12,7.77915e-12,1.61644e-09,3.50796e-10,9.94443e-12,2.43416e-14,5.44962e-14,7.62518e-11,0.00276022,0.265781,8.73407e-09,0.000299011,2.84919e-08,111.334,0.000308244,0.259118,4.33338,2.04257,0.921451,0.675358,0.163078,16.0885,0.00651122,0.0362854,7.66962e-20,1.19667e-16,2.59969e-24,8.79867e-21,
5,3.02312e-31,1.09793e-29,4.57324e-21,3.31211e-29,4.48972e-27,2.97446e-26,1.84432e-23,2.18703e-17,3.53761e-20,1.9629e-26,2.975e-21,1.43667e-20,2.1265e-21,1.86174e-27,4.38981e-24,2.20949e-21,6.65448e-27,1.97165e-19,2.30073e-26,9.84636e-38,6.59544e-33,3.05268e-28,2.9623e-26,7.57075e-32,3.44971e-22,6.65686e-33,5.28153e-29,6.03227e-28,8.49882e-28,1.05958e-34,1.31956e-32,6.71289e-23,2.95675e-29,6.34414e-19,4.89595e-25,3.49367e-22,1.70466e-17,1.69351e-25,2.29652e-21,9.61657e-14,5.42415e-22,1.46485e-21,1.34758e-14,6.61819e-26,2.929e-17,3.29995e-23,4.41977e-16,1.44878e-08,1.51323e-12,1.56136e-11,2.26308e-09,6.20794e-10,1.8376e-11,3.40792e-14,7.62968e-14,1.56247e-10,0.00487951,0.372155,1.22276e-08,0.000525527,3.92011e-08,155.868,0.000564891,0.361734,6.06667,2.85949,1.2678,0.945501,0.25047,22.5239,0.00911571,0.0507996,1.60011e-19,2.53642e-16,5.47187e-24,1.86062e-20,
6,6.26736e-31,2.27616e-29,8.08031e-21,6.78418e-29,8.99008e-27,5.72361e-26,3.69302e-23,4.55762e-17,6.25049e-20,4.02059e-26,5.72466e-21,2.97842e-20,3.75724e-21,3.81339e-27,8.79002e-24,4.25162e-21,1.16182e-26,4.23083e-19,4.06509e-26,2.01683e-37,1.32065e-32,5.87412e-28,5.234e-26,1.55072e-31,6.63811e-22,1.17618e-32,1.05756e-28,1.16076e-27,1.48383e-27,2.12166e-34,2.53917e-32,1.18608e-22,6.05631e-29,1.22077e-18,9.8035e-25,6.0997e-22,3.01191e-17,3.46881e-25,4.57649e-21,1.85487e-13,1.03848e-21,2.93317e-21,2.35392e-14,1.26709e-25,5.15123e-17,6.77017e-23,8.77823e-16,2.535e-08,2.16193e-12,2.73929e-11,3.23297e-09,9.79509e-10,3.00788e-11,4.86845e-14,1.08995e-13,2.83154e-10,0.00769146,0.531694,1.74679e-08,0.000827113,5.55285e-08,222.669,0.000921202,0.516031,8.66663,4.08491,1.79584,1.35072,0.373039,32.177,0.0130224,0.0725709,3.60777e-19,4.94375e-16,1.19551e-23,3.98794e-20,
7,8.75955e-31,3.18127e-29,1.09032e-20,9.47522e-29,1.25303e-26,7.91597e-26,5.14731e-23,6.37439e-17,8.43416e-20,5.61542e-26,7.91742e-21,4.16277e-20,5.06986e-21,5.32603e-27,1.22515e-23,5.88016e-21,1.5547e-26,5.92833e-19,5.48526e-26,2.81683e-37,1.84072e-32,8.12414e-28,7.06255e-26,2.16583e-31,9.18076e-22,1.58709e-32,1.47402e-28,1.60538e-27,1.98559e-27,2.95716e-34,3.51176e-32,1.60045e-22,8.45863e-29,1.68838e-18,1.36641e-24,8.16232e-22,4.06415e-17,4.84477e-25,6.37234e-21,2.5673e-13,1.43517e-21,4.08824e-21,3.15105e-14,1.7511e-25,6.9289e-17,9.45825e-23,1.22146e-15,3.39549e-08,2.16238e-12,3.6755e-11,3.23305e-09,1.2111e-09,3.8382e-11,4.86858e-14,1.08998e-13,3.84857e-10,0.00950194,0.531805,1.74676e-08,0.00101802,5.43104e-08,222.669,0.0011696,0.514192,8.66651,4.08471,1.75644,1.35071,0.412284,32.177,0.0130224,0.0725709,5.06008e-19,6.86339e-16,1.67597e-23,5.5879e-20,
8,1.15306e-30,4.18765e-29,1.31572e-20,1.23983e-28,1.62095e-26,1.00322e-25,6.65867e-23,8.41158e-17,1.01777e-19,7.34779e-26,1.0034e-20,5.47965e-20,6.11793e-21,6.96912e-27,1.58488e-23,7.45214e-21,1.86285e-26,7.93229e-19,6.61921e-26,3.68583e-37,2.38119e-32,1.0296e-27,8.52255e-26,2.83399e-31,1.16351e-21,1.91518e-32,1.90682e-28,2.03456e-27,2.37915e-27,3.82545e-34,4.45059e-32,1.9313e-22,1.10681e-28,2.13974e-18,1.76761e-24,9.78016e-22,4.90432e-17,6.33939e-25,8.22383e-21,3.25762e-13,1.81383e-21,5.28864e-21,3.77672e-14,2.21312e-25,8.33847e-17,1.23857e-22,1.57371e-15,4.07413e-08,2.16265e-12,4.41722e-11,3.23305e-09,1.35008e-09,4.40423e-11,4.86858e-14,1.08998e-13,4.71699e-10,0.0105836,0.531871,1.74675e-08,0.00113257,5.35985e-08,222.669,0.00133855,0.513093,8.66645,4.0846,1.73342,1.35071,0.435196,32.177,0.0130224,0.0725709,6.92469e-19,8.75569e-16,2.26133e-23,7.47266e-20,
9,1.15306e-30,4.18765e-29,1.31572e-20,1.23983e-28,1.62095e-26,1.00322e-25,6.65867e-23,8.41158e-17,1.01777e-19,7.34779e-26,1.0034e-20,5.47965e-20,6.11793e-21,6.96912e-27,1.58488e-23,7.45214e-21,1.86285e-26,7.93229e-19,6.61921e-26,3.68583e-37,2.38119e-32,1.0296e-27,8.52255e-26,2.83399e-31,1.16351e-21,1.91518e-32,1.90682e-28,2.03456e-27,2.37915e-27,3.82545e-34,4.45059e-32,1.9313e-22,1.10681e-28,2.13974e-18,1.76761e-24,9.78016e-22,4.90432e-17,6.33939e-25,8.22383e-21,3.25762e-13,1.81383e-21,5.28864e-21,3.77672e-14,2.21312e-25,8.33847e-17,1.23857e-22,1.57371e-15,4.07413e-08,2.16265e-12,4.41722e-11,3.23305e-09,1.35008e-09,4.40423e-11,4.86858e-14,1.08998e-13,4.71699e-10,0.0105836,0.531871,1.74675e-08,0.00113257,5.35985e-08,222.669,0.00133855,0.513093,8.66645,4.0846,1.73342,1.35071,0.435196,32.177,0.0130224,0.0725709,6.92469e-19,8.75569e-16,2.26133e-23,7.47266e-20,
