burnup,enrichment,ac-227,ag-108m,ag-110m,am-241,am-242m,am-243,c-14,ce-144,cf-249,cf-251,cm-242,cm-243,cm-244,cm-245,cm-246,cs-134,cs-135,cs-137,eu-152,eu-154,cm-247,cm-248,eu-155,h-3,i-129,kr-85,nb-94,nb-95,np-237,pa-231,pu-239,pu-240,pu-241,pu-242,pd-107,pm-147,pu-238,pu-244,ra-226,ru-103,ru-106,sb-124,sb-125,se-79,sm-151,sn-126,th-229,th-230,th-232,u-232,sr-90,tc-99,u-233,u-234,u-235,u-236,u-238,y-90,zr-93,zr-95
1689.0,2.88,1.4972073395142378e-15,2.5652255461512575e-13,6.367775128841108e-10,6.727175184917191e-07,7.322996352410302e-10,7.058444769881767e-09,8.088424101700667e-09,1.5157204521706424e-05,1.9523744566389208e-22,1.2358559451256843e-24,1.1714163848173753e-09,1.2284247386417998e-11,2.157226479727324e-10,1.7852338246830475e-12,1.583165682551158e-14,5.520302740037461e-07,4.6476981546560935e-05,6.156523885025618e-05,2.2688397144270553e-09,1.2480422517020167e-07,2.3802569673586992e-17,1.790200236878429e-19,2.779453031958996e-07,5.89010138535095e-11,6.416888283182751e-06,1.945035771422125e-06,1.568376608672704e-11,2.548338450467737e-07,1.377783954023538e-05,6.736091276849143e-11,0.0012266484227579331,5.829892843386542e-05,1.0503298505879819e-05,2.8702804126021216e-07,3.981347663188283e-06,1.587615716683847e-05,4.457281298118082e-07,3.3767103976055856e-13,1.2677029824398664e-14,7.114771270471388e-09,2.6216007340354656e-06,6.156327595110097e-12,5.270280231989857e-07,2.662194459229703e-07,3.3714953104308856e-06,7.435849880532284e-07,5.815327792692679e-15,1.3884151945736873e-09,4.197870077011477e-10,3.1742830326023947e-12,3.437794540503985e-05,4.589907876717642e-05,4.1126754773899724e-10,0.00024820745803127005,0.027000224071291806,0.0005053187283192428,0.9706460826410542,8.720387496555015e-09,4.884299917506362e-05,2.1632654761039473e-07
7027.0,2.85,2.5253317619242448e-15,7.5984118875523e-12,1.881918950816221e-08,1.3387044022095115e-05,2.9248616802882254e-08,1.709285498292759e-06,2.5506658104407235e-08,6.006672965656986e-05,8.026671216398345e-17,1.0618459820160013e-17,7.56687153054079e-08,2.9389771429868592e-09,1.9057562974203583e-07,5.0533750048831626e-09,1.614753741395434e-10,8.000580446508051e-06,0.0001190334386167064,0.0002573227647871111,7.518497818412246e-09,1.969955441715806e-06,8.453705703811488e-13,2.2481883022958577e-14,1.0309928006742652e-06,5.877402461738189e-10,3.0339941169665463e-05,7.385878702200874e-06,1.9204293724092752e-10,1.014728099675044e-06,8.186731233056588e-05,1.014422757525031e-10,0.0038771203735692514,0.0004776863155598912,0.00021153871740242262,1.9561629524724356e-05,2.9611088834255403e-05,5.647648566836203e-05,9.096010859333622e-06,2.742053361789526e-10,1.2127829558182695e-14,3.448440742901082e-08,1.748327708547195e-05,9.752446615543747e-11,2.4489301515497987e-06,1.080245851890408e-06,8.113597914584133e-06,3.76439916484957e-06,2.4988684194017976e-14,1.279674614138198e-09,1.4913539278429406e-09,4.262706600890293e-11,0.00012997891729716747,0.00018528814377272602,1.448900060022611e-09,0.00022294163940712747,0.02217582582556597,0.0014271168495271062,0.9703675575718104,3.2970743844830766e-08,0.00019289217844380716,8.606807142950695e-07
16987.0,1.83,1.2436682235514095e-14,1.1133110705204561e-10,1.4469418320292648e-07,9.242283967900202e-05,7.587498738199832e-07,5.8843622965966944e-05,7.648685633183636e-08,5.200075428254702e-05,1.5607931897221396e-12,4.3307127449073353e-13,2.049830942445354e-06,2.4051469655060214e-07,2.1143343131132002e-05,1.4481869793320564e-06,1.4127327966463362e-07,3.794991578560155e-05,0.00031461401703818543,0.0006029451983118689,2.6522153414697335e-08,1.38865792383874e-05,2.2829578114737378e-09,1.7891386453056196e-10,4.107206164977326e-06,2.608631003180933e-09,8.983260962857515e-05,1.25992315701188e-05,7.093158229463521e-10,6.358170970643574e-07,0.00023589539226185946,2.8439644409358593e-10,0.006842893182039175,0.001706797690538579,0.0008851848676204784,0.0002330789871741741,0.0001369362871069918,7.197252962246013e-05,9.044990810980152e-05,1.53100127530762e-08,4.011973459151045e-14,3.088530472160129e-08,3.9474179044324385e-05,3.5876978064160517e-10,5.331586705263265e-06,2.402386688149269e-06,1.1094545297461932e-05,1.2308524580469981e-05,5.702924924901524e-13,1.6086234574082464e-09,2.1386405285733104e-09,5.022713391913035e-10,0.00023510559063710942,0.0004099862056535802,1.947323740107858e-09,0.00011490182064293303,0.009194015015588902,0.0018063742206512847,0.976236874112904,5.963741507719407e-08,0.0004223978734046094,5.391333459869107e-07
1591.0,3.634,4.7178108278192925e-15,1.5744910862545137e-13,2.798627009757576e-10,4.416265868217669e-07,5.911479332205796e-10,1.9264013913734607e-09,5.932631588764284e-09,9.631269950260121e-06,6.246725358712809e-24,2.646165215661631e-26,6.900398219834842e-10,5.67107871101668e-12,4.1826027227180444e-11,2.5964177704742005e-13,1.6306888833796003e-15,3.708536034712063e-07,5.482797811548323e-05,5.746896408607252e-05,4.2949535790813044e-09,8.402982918421669e-08,1.7659245878247747e-18,7.415547809553195e-21,2.502145110268247e-07,3.901208341725559e-11,5.855102166202019e-06,1.8109628696172882e-06,9.723008492957515e-12,1.1161006039028438e-07,1.1247239150716814e-05,1.4017398257811015e-10,0.0010237744591086741,4.018296072264435e-05,5.586126889070867e-06,1.1025293325210667e-07,3.1319204278196993e-06,1.3189670560995757e-05,2.8588068126828164e-07,3.6065916615624654e-14,4.204759995874162e-14,2.896936846926463e-09,1.5891873151732756e-06,2.3920193795154996e-12,3.787451413640379e-07,2.532131012837034e-07,3.3375537013099104e-06,6.642931513713639e-07,1.140049228792065e-14,2.8502174722601984e-09,4.187282672940536e-10,4.561632366995019e-12,3.278371903820916e-05,4.266309479255102e-05,4.2905214400271835e-10,0.0003156811636583766,0.034576550627161536,0.0005309550594873341,0.9632219795694972,8.315992017040588e-09,4.467915090929969e-05,9.463095559243645e-08
324.0,2.133,2.1875552016070186e-16,7.383248015359776e-15,3.655619640336313e-11,3.0286155971227847e-08,1.2481571540446662e-13,1.217448944960866e-11,5.025302111895931e-09,4.519548587896377e-06,8.84874746581498e-30,3.701659100497153e-33,1.999504923198382e-13,1.7816693148459974e-16,4.622893125112811e-14,7.852956586934432e-17,9.990541087046496e-20,1.2023620951280098e-08,2.1108053054717714e-06,1.1864551371566423e-05,2.1226807563594167e-12,8.21361543890053e-09,2.7756894816599165e-23,3.535085511830802e-26,6.106090064932418e-08,4.5235511454022e-12,1.1574508334212424e-06,3.9535823914471566e-07,7.806484163567212e-13,1.9993992015667865e-07,2.314959677342813e-06,2.0738167638241703e-11,0.0003015252360620206,4.308903609315911e-06,6.073876978848271e-07,3.777812913689013e-09,5.385671301066245e-07,3.558901884189956e-06,6.003011195765469e-09,3.019197909726475e-15,2.447993064467422e-15,7.615877915791445e-09,5.39544690545546e-07,1.1881775256970855e-12,1.1853603977339491e-07,5.069767550103058e-08,7.707868539900532e-07,1.293068026045577e-07,2.9501228807257696e-16,5.321239895705024e-10,7.856032479586171e-11,3.493197532485169e-14,6.8576327983588285e-06,8.64798771031389e-06,6.64921365261292e-11,0.0001882730676794732,0.020967802927528808,0.00017212512117377817,0.9783115134511574,1.7395226264840274e-09,9.76049549316494e-06,1.723325783027816e-07
10620.0,3.62,6.4459413927369305e-15,1.850142394915054e-11,3.674104494281384e-08,2.5222112839351066e-05,9.972128903283895e-08,5.890122256307097e-06,3.648404723468713e-08,7.074370603813385e-05,3.1888388831863383e-15,5.986704143886183e-16,2.5876649853966283e-07,1.5866030692558332e-08,1.0438882351956467e-06,4.17347159349762e-08,1.9142087997379295e-09,1.618590479539889e-05,0.00021072389291824795,0.000387612297460775,1.6629111873651542e-08,4.337335722167872e-06,1.574722499312651e-11,6.318034325112106e-13,1.6269446167725064e-06,9.52582171263758e-10,4.635493603526149e-05,1.0839400341235685e-05,3.182669162100478e-10,9.560847569559097e-07,0.00014263715876235535,2.1310472510531263e-10,0.004944528724445553,0.0006905974590689978,0.00034773953404685726,4.2871221673815714e-05,4.695823707246355e-05,7.353639964130373e-05,2.30295097039411e-05,1.0820382709803297e-09,2.5783702076432437e-14,3.3567842169218875e-08,2.347562085161396e-05,1.6416232612595776e-10,3.3903602336441976e-06,1.6272340727598055e-06,1.088735698786527e-05,5.790124319915561e-06,7.815659121294738e-14,2.0462002910440335e-09,2.3657305871774168e-09,1.2569847528302051e-10,0.0001934540211693918,0.0002755986970352447,2.4960580540207773e-09,0.0002723616983668701,0.026755533912080753,0.002155922983024017,0.9629197805953414,4.907198338480855e-08,0.0002873314520394489,8.107784365347846e-07
1803.0,1.934,8.385066643514799e-16,4.834892800821832e-13,1.4916094156688694e-09,1.3709827584180262e-06,1.035507086650279e-09,2.7968660806528392e-08,1.2334371950761344e-08,1.9003282062699228e-05,5.078598766201405e-21,8.338177329528515e-23,2.062293061253607e-09,2.979350589825797e-11,1.1380196466788695e-09,1.2393943131678092e-11,1.5930658162564448e-13,8.010334115568205e-07,3.3855518446051044e-05,6.565867065166673e-05,1.3454698415127967e-09,1.8590613296487596e-07,3.2526607294537743e-16,3.408692327260622e-18,3.068347302089063e-07,1.0379459233143112e-10,7.290862648239714e-06,2.002120805054512e-06,2.5722257188012774e-11,4.4684908717479767e-07,1.7173862582427564e-05,4.175519181313268e-11,0.0015847499734757773,0.00010127797745727561,2.4000902535207632e-05,9.051754732279324e-07,5.764585102413616e-06,1.7379163254189878e-05,7.244308747551926e-07,2.639500469330868e-12,6.272346939976647e-15,1.4090254289216198e-08,4.054598396425784e-06,1.245842202137272e-11,6.865757949965475e-07,2.794160169187631e-07,3.1246525726138387e-06,8.804857578846355e-07,4.400335988350873e-15,7.944694622603575e-10,3.8520273400638145e-10,3.790689980509902e-12,3.4991557008879495e-05,4.8357667068277966e-05,3.4972807353166823e-10,0.00016437702602885293,0.01758585476611976,0.00044308779593443164,0.9797787688601753,8.876037408791499e-09,5.2186699236564576e-05,3.7966377321459715e-07
6119.0,2.36,3.066427662044512e-15,2.5034889268096786e-12,1.8783436904621702e-08,9.429851147665697e-06,1.8115804380784418e-08,4.4403194693511924e-06,1.1585221514925543e-07,5.277233912569863e-05,2.5793165257004586e-13,1.7055040865704605e-14,9.465670346518145e-08,5.357185215194991e-09,1.1114665287760128e-06,4.462772180237135e-08,6.744050525758969e-09,7.349051408083877e-06,8.21059117986656e-05,0.00022495613693482002,4.0591212703503255e-09,1.5787221060980552e-06,1.0950454742483281e-10,1.4279700351482186e-11,1.0306351090878484e-06,2.1392130552870047e-08,2.502326577669768e-05,5.431673476862539e-06,2.0833059066559324e-10,7.995578728966689e-07,5.3008249876134634e-05,1.0082513879722848e-10,0.0022840217267061343,0.0003416924424834573,0.00015004991718368648,2.9995032358514743e-05,2.4949919173828208e-05,4.7842755801953446e-05,5.984165039113553e-06,2.0128364473717837e-09,1.030445443228193e-14,2.7645006201006244e-08,1.4485289867211774e-05,6.778584814847911e-11,1.340859083535214e-06,9.308395019323814e-07,5.380542370768826e-06,3.1232225185901467e-06,1.6888719510203952e-14,1.0944582111828778e-09,2.58848168820434e-08,2.9681851747398025e-11,0.00011652407799139103,0.00016164524599649016,1.1313690561918405e-09,0.00019028071862887882,0.017950630878005833,0.0010819827125927912,0.9769727175814652,2.9557759774935126e-08,0.0001462895463947734,6.778983729909875e-07
19151.0,1.83,2.3454950176302662e-14,1.3866547269719745e-10,1.399380319132404e-07,0.00012513260088089487,1.1979834522919677e-06,7.353248430683812e-05,8.634393840971506e-08,4.188636388450262e-05,3.08745400790096e-12,8.107142884576449e-13,2.4928158879368805e-06,3.165741475839662e-07,2.8096966698266348e-05,2.035035837126878e-06,2.156845220568661e-07,4.002294299531185e-05,0.00041034556375826154,0.000666553581228522,3.802047311337454e-08,1.6366320047378525e-05,3.765364158655069e-09,3.197416935927827e-10,4.688714750061167e-06,2.981220854173448e-09,0.00010233348527113675,1.3121491785119184e-05,7.589719074435482e-10,4.802158601135723e-07,0.00026945231476663246,4.3647599841261134e-10,0.007374083579172929,0.0019381413170926115,0.0009946276717666806,0.0002767742930240177,0.00015897354184435,6.79597362240408e-05,0.00012061157253324247,1.773860253036006e-08,7.378126224548031e-14,2.3699335528950698e-08,3.522847875096832e-05,3.1199496445418163e-10,5.1527683305999044e-06,2.6888277582521457e-06,1.1896401203476079e-05,1.4105091329709367e-05,1.2218029571610284e-12,2.105875940885001e-09,2.3787220291323487e-09,7.46455257402516e-10,0.0002542979343899376,0.0004574705252863528,2.158441379343873e-09,0.00011061733453830373,0.008444059393216564,0.0019278701623811918,0.9755337179316526,6.450578617384573e-08,0.0004726588568213663,4.070892883384256e-07
9606.0,2.11,3.687214839784529e-15,2.231700042646296e-11,4.951460644032244e-08,3.524851596616635e-05,1.3177985772842072e-07,8.810371921508802e-06,3.816727677246352e-08,6.052310050010314e-05,3.1005520605931633e-15,5.673530313935818e-16,3.7040998517123585e-07,2.030416269951114e-08,1.4309705595646821e-06,5.0851530540532825e-08,2.391246416372035e-09,1.5005258622077788e-05,0.0001660914725824201,0.0003497656328342125,1.1247907446766424e-08,4.187632280488419e-06,1.7521531971722117e-11,6.603696596923001e-13,1.6878383052621316e-06,1.1250988422064825e-09,4.633602000661434e-05,8.86344447374946e-06,3.4261784804925964e-10,7.831488625534565e-07,0.00012380494118487736,1.2126659045542705e-10,0.004913372943886444,0.0008578442312856635,0.00048376019865255357,7.08327335881266e-05,5.886518572595183e-05,6.361841594145347e-05,2.255604505207614e-05,1.462533676451287e-09,1.425047161219158e-14,3.142594129169828e-08,2.7802737193598818e-05,1.5370377047755488e-10,3.526611003869387e-06,1.4314994984122696e-06,8.569344813981593e-06,6.0533010312762185e-06,5.047773999001403e-14,1.1410600289887855e-09,1.5992574088309863e-09,1.0207768212374598e-10,0.00015738006167059703,0.0002431759164017119,1.4636177829483112e-09,0.00015306864393614444,0.014124982117118753,0.001485059958305542,0.9762417180295894,3.992138165218441e-08,0.0002524262798502245,6.638316537835016e-07
